Item Name,Qty,Price (total) (USD),Item link,Notes,PCB Designator
ESP32-S3-MINI1,1,$5.43,https://www.digikey.com/en/products/detail/espressif-systems/esp32-s3-mini-1-n8/15295890,ESP32 Microcontroller and bluetooth,U1
MEM2052-00-195-00-A,1,$1.14,https://www.digikey.com/en/products/detail/gct/MEM2052-00-195-00-A/18091687,SD Card,J1
MAX-M10M-00B,1,$7.56,https://www.digikey.com/en/products/detail/u-blox/MAX-M10M-00B/15712905,GPS Chip,U2
DX4R005HJ5R2000,1,$0.80,https://www.digikey.com/en/products/detail/jae-electronics/DX4R005HJ5R2000/3903227,USB,J2
LS027B7DH01A,1,$27.59,https://www.digikey.com/en/products/detail/sharp-microelectronics/LS027B7DH01A/5054067,Display,U7
B57330V2103J260,1,$0.19,https://www.digikey.com/en/products/detail/tdk/B57330V2103J260/4360622,Thermistor,TH1
D3V3XA4B10LP-7,1,$0.44,https://www.digikey.com/en/products/detail/diodes-incorporated/D3V3XA4B10LP-7/10295141?s=N4IgTCBcDaICIGYBqCAaBBALAIQIwAYAZABRAF0BfIA,EMI Protection,U3
TLV76733DRVR,1,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/TLV76733DRVR/10434657?s=N4IgTCBcDaICoBkBqB2AbCgzJgIgJSTxAF0BfIA,Linear Voltage Regulator,U5
MCP73871-2CCI/ML,1,$2.41,https://www.digikey.com/en/products/detail/microchip-technology/MCP73871-2CCI-ML/1680971?s=N4IgTCBcDaILIGEAKB2AzADhQRgLRgQRAF0BfIA,Battery Charging,U6
B3U-1100P,2,$1.17,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3U-1100P/1534339?gclsrc=aw.ds&gad_source=1&gad_campaignid=20234014242&gbraid=0AAAAADrbLlis3Cz40t9hjOioxPaFcy7Si&gclid=Cj0KCQjw9ZLSBhCcARIsAEhGKgMMIXBGDglw2WMnyUzLqVsnmpcDYfhjn9ClIkeviY8wOCGYYd3g9hoaAp_GEALw_wcB,Push Button,"SW1,SW2"
PCB,1,$121.62,,Qoute from JLC PCB includes shipping/tarrifs,
BC501SM,1,$1.37,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BC501SM/2439260,Coin battery holder,BT1
15141,1,$4.96,https://www.digikey.com/en/products/detail/sparkfun-electronics/15141/10130910,Rotary Encoder,SW3
L101011MS02Q,1,$3.97,https://www.digikey.com/en/products/detail/c-k/L101011MS02Q/484142,Power Switch,SW4
FH33-10S-0.5SH(10),1,$1.22,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FH33-10S-0-5SH-10/1305324,Screen Connector,U7
AGGP.25F.07.0060A,1,$19.30,https://www.digikey.com/en/products/detail/taoglas-limited/aggp-25f-07-0060a/3083243,GPS Antenna,
U.FL-R-SMT-K(895),1,$1.29,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/U-FL-R-SMT-1-10/2391570,GPS Antenna Connector,J4
B2B-PH-SM4-TB,1,$0.47,https://www.digikey.com/en/models/926641?tab=snapmagic,Battery Connector,J3
C0603C104K5RACTU,9,$0.10,https://www.digikey.com/en/products/detail/kemet/C0603C104K5RACTU/1465594,100nF Capacitor,"C1,C3,C4,C7,C8,C10,C12,C13,C15"
C1608X5R1H105K080AB,2,$0.16,https://www.digikey.com/en/products/detail/tdk/C1608X5R1H105K080AB/2732903,1uF Capacitor,"C5,C9"
CL21A226KOQNNNE,1,$0.35,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226KOQNNNE/5961010,22uF Capacitor,C2
CL21A225KOFNNNE,2,$0.13,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A225KOFNNNE/3887439,2.2uF Capacitor,"C6,C14"
CL21A106KOFNNNE,1,$0.16,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOFNNNE/3888551,10uF Capcitor,C11
CR0603-FX-1002ELF,13,$0.10,https://www.digikey.com/en/products/detail/bourns-inc/CR0603-FX-1002ELF/3593188,10k Ohm Resistor,"R1,R4,R5,R6,R7,R8,R9,R10,11,R13,R14,R15,R16"
CR2512-FX-2001ELF,1,$0.23,https://www.digikey.com/en/products/detail/bourns-inc/CR2512-FX-2001ELF/4698121?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRAHYBmAVjGvgF0CAHAFyhAGVWAnASwB2AcxABfAmACcADkkIQySOmz4ipEAAYQDcSABMG6dXmLluAsUhk9AAgDWAeQAWAWyzaW7SCACqAvqwOKACyOGhYAK48OGIEALR6JlC8EaqWZMY68XLQCsk8qRbqlNq6cRC5ppjmalbgYNKluol1AEo4WHxYrIQ8pUA,2k Ohm Resistor,R2
RN73H1JTTD2032D25,1,$0.10,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RN73H1JTTD2032D25/10682841,20k Ohm Resistor,R3
CRGH0603F10R,1,$0.12,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGH0603F10R/2386211,10 Ohm Resistor,R12
MCT06030Z0000ZP500,2,$0.19,https://www.digikey.com/en/products/detail/vishay/MCT06030Z0000ZP500/2607867,0 Ohm Resistor,"R17,R18"
Total Price (USD):,207.27,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
